matchID,Player,playerWin,variable,mon
684087311,StarKO,0,Brought1,Manectric
690883526,Brodasenpai,0,Brought1,Gengar
690883526,picklesword,1,Brought1,Heatran
693147955,Ezrael,0,Brought1,Kangaskhan
693147955,Eshivgc,1,Brought1,Latias
698644946,Stratos,1,Brought1,Mimikyu
698644946,MissingNoL,0,Brought1,Scrafty
702673897,Eric Rios,0,Brought1,Whimsicott
702673897,bling blao,1,Brought1,Aegislash
687934496,2 Turtle Doves,0,Brought1,Aegislash
687934496,Yoshiandlugia,1,Brought1,Kangaskhan
700735551,Stratos,1,Brought1,Charizard
700735551,Zorro-T,0,Brought1,Kartana
688796485,Rykku2isi,0,Brought1,Charizard
688796485,MasterWizardVGC,1,Brought1,Charizard
692418989,chuppa,1,Brought1,Metagross
692418989,carademono,0,Brought1,Metagross
701969913,EmbC29,0,Brought1,Gengar
701969913,JHufself,1,Brought1,Landorus
724737808,wiegelinho,0,Brought1,Talonflame
724737808,Braverius,1,Brought1,Gengar
684867030,fegan mox,1,Brought1,Manectric
684867030,EiMaGIVGC,0,Brought1,Landorus
699148572,Euler,0,Brought1,Charizard
699148572,Fire_gohan,1,Brought1,Venusaur
698204590,5 Stolen Rings,1,Brought1,Metagross
698204590,ApplePieVGC,0,Brought1,Metagross
687035150,LightCore,1,Brought1,Tyranitar
687035150,TolucA7,0,Brought1,Charizard
717990267,KillerQueenVGC,0,Brought1,Swampert
717990267,rapha123,1,Brought1,Ludicolo
702132390,Ne\xcd\x9c\xcd\xa1crocat219,0,Brought1,Tapu Fini
702132390,Moeper,1,Brought1,Gengar
692070508,NBJuanCarlosMateos,1,Brought1,Metagross
692070508,Lore95VGC,0,Brought1,Salamence
702686212,TheBattleRoom,0,Brought1,Charizard
702686212,Xx3O,1,Brought1,Salamence
722855752,YureeVGC,1,Brought1,Manectric
722855752,Seven_Poke,0,Brought1,Zapdos
698146836,weeaboohuntertri,1,Brought1,Conkeldurr
698146836,Crow380,0,Brought1,Raichu
701162484,R d m H 3,0,Brought1,Tapu Fini
701162484,Sakurauchi Chika,1,Brought1,Kangaskhan
708526226,zeen172m,0,Brought1,Kangaskhan
708526226,ApplePieVGC,1,Brought1,Mawile
717670669,LUKAMIR,0,Brought1,Tapu Koko
717670669,Breloom7,1,Brought1,Drifblim
707596619,CarsonC_,0,Brought1,Tapu Koko
707596619,Eric Rios,1,Brought1,Snorlax
699528812,sandymarech,0,Brought1,Zapdos
699528812,TA~Boah,1,Brought1,Metagross
692315422,ralfdude90,0,Brought1,Latias
692315422,LegaVGC,1,Brought1,Tapu Bulu
713091095,Pokebeys,0,Brought1,Gothitelle
713091095,Spurrific,1,Brought1,Porygon2
718573335,TTT444,0,Brought1,Salamence
718573335,Ezrael,1,Brought1,Raikou
694778651,VGC Strategy,0,Brought1,Charizard
694778651,wiegelinhovgc,1,Brought1,Charizard
709488041,Ezrael,1,Brought1,Gardevoir
709488041,rapha123,0,Brought1,Charizard
684578839,PlayerOne (NPA),1,Brought1,Charizard
684578839,EmbC29,0,Brought1,Kangaskhan
692861198,DaWoblefet,1,Brought1,Landorus
692861198,Mancuso,0,Brought1,Charizard
698684148,gummyfoxes,0,Brought1,Incineroar
698684148,MajorBowman,1,Brought1,Snorlax
702986983,RpIndaHouse,1,Brought1,Landorus
702986983,fegan mox,0,Brought1,Kangaskhan
708637317,Unreality,0,Brought1,Tyranitar
708637317,TheBattleRoom,1,Brought1,Cresselia
699244475,Prro-t,1,Brought1,Clefairy
